job_title,company,address,job_type,seniority,categories,salary_from,salary_to,salary_type,description,url
Senior Lecturer,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,463 CLEMENTI ROAD 599494,"Contract, Full Time",Manager,Education and Training,"$7,000","$12,000",Monthly,"Roles & ResponsibilitiesThe School of Business (SBIZ) at Singapore University of Social Sciences aims to educate business minds and in the process, transform the lives of our students when they graduate with a business degree. SBIZ currently has more than 4,000 students enrolled in various degree programmes.   Our students are mainly working adults who are keen to upgrade and remain competitive in the fast-paced business world. We also have a sizable group of full-time students pursuing their degree education full time in the University. To equip our students for a better future, we provide them with a curriculum that is industry-relevant and we adopt innovative and practice-oriented pedagogical approaches (e.g. case study, flipped-classroom). Classes are interactive in nature and instructors go beyond lectures and facilitate interactive discussions and activities that require application of theories to solve real world problems. As most of our students are working, they are able to apply what they have learnt in the classroom to real-life scenarios in their workplace almost immediately. This enables them to live out our maxim - Learn Today, Apply Tomorrow.   SBIZ is now recruiting passionate full-time faculty members who are aligned with our education aspirations. The responsibilities of SBIZ full-time faculty members include teaching and developing courses, conducting academic and/or applied research, and managing degree programmes and projects. We are interested in candidates in the following areas:    Accountancy (especially in the areas of Financial Accounting, Managerial Accounting, Assurance, Taxation, Business Valuation and Accounting Theory)  Analytics (especially in the areas of Machine Learning, Data Mining, Text Mining, Statistics, Forecasting, Optimisation, Data Visualisation, Data Management, IoT and Big Data) Business Law Entrepreneurship  Finance Information Systems Project Management Quality Management Supply Chain Management (especially in the areas of Procurement and International Trade  System) Strategy Operations Management Customer Relationship Management Business excellence (especially in the area of SPRING Singapore's Business Excellence framework) Requirements Ph.D. degree holder in a relevant discipline. Ph.D candidates nearing completion will also be considered. Candidate with teaching and/or working experience in the relevant area will have an added advantage. In the area of Finance, candidates with a Chartered Financial Analyst (CFA) qualification or those in the area of Fintech, crytocurrency and digital banking will have an added advantage. In the area of Accountancy, candidates with a Chartered Accountant of Singapore qualification (or equivalent professional qualification) and at least a Master's degree in a relevant area will also be considered.  In the area of Business Law, candidates with a Bachelor's degree in Law and at least 5 years of relevant working experience will also be considered.    For more information and application, please visit our website: http://www.suss.edu.sg/careers/appointments-vacancies/Pages/Academic-Appointments-(Full-time).aspx (Only shortlisted candidates will be notified)",https://www.mycareersfuture.sg/job/senior-lecturer-singapore-university-social-sciences-7bc3a4b70ce1de7a77e24a57a691a771
Operational Research,APAR TECHNOLOGIES PTE. LTD.,"SGX CENTRE II, 4 SHENTON WAY 068807",Contract,Professional,Information Technology,"$6,800","$10,000",Monthly,"Roles & ResponsibilitiesHi , We are looking for a suitable candidate for Operation Research Role , please find below the details  , if you are keen kindly share your updated resume with expected salary and availablity .  Building models (Mixed Integer Programming, Network Optimization, Discrete Optimization)  1.2.Developing software solutions for real-world optimization problems 1.3.Integrates simulation models and decision support systems to optimize complex airline scenarios/systems 1.4.Develops data collection systems and strategies to obtain quality data 1.5.Implementation of software architecture by software programming using optimization techniques such as column generation, branch and price, brand & bound, mixed integer linear programming & mathematical programming tools such as C# .NET, Gurobi, CPLEX  Build models for Predictive Analysis using traditional methods, Regression, Forecasting, Artificial Intelligence and Machine Learning techniques  1.7.Software programming to ensure interaction within existing ERP database, business logic, presentation tier and various optimization solvers. 1.8.Undertake training of juniors OR Analysts and subordinates -software engineers and testers. 1.9.Adhering to documentation control standards and processes maintaining high standards of quality will be a key requirement. 1.10.Continued R&D on latest development in Operation Research in Transportation Industry to ensure code fidelity and continuous improvement.      1.11.Collaborates with other teams to design database, UI, algorithm and engine 1.12.Measures, controls, maintains, tests and improves the quality of model/software development  Prepares functional specification and project report documents  Thanks and Regards,  Aparna Divakaran Nair  Reg ID: R1101681  EA License No: 11C4879 Requirements Software Experience- Software Programming & data manipulation skills using a variety of tools/ platforms like CPLEX, C# .NET, Amazon Web services, Microsoft Azure. Experience or exposure to Transportation Industry.   3+ years on optimization techniques like large scale LP optimization, MIP theory and Column generation algorithm. 2-5 years of relevant work experience: building and solving LP/IP models, network flow, graph theory, column generation and large-scale optimization, models for real-world optimization Proficient in object-oriented programming Good programming skills in C#, C, C++ ",https://www.mycareersfuture.sg/job/operational-research-apar-technologies-7244ed1c1ba91139299c58dfbd09d142
Senior  /  Junior Operational Research,LAMINAAR AVIATION INFOTECH PTE. LTD.,,Permanent,Executive,Information Technology,,,,"Roles & Responsibilities Building models (Mixed Integer Programming, Network Optimization, Discrete Optimization) Developing software solutions for real-world optimization problems Integrates simulation models and decision support systems to optimize complex airline scenarios/systems Develops data collection systems and strategies to obtain quality data Implementation of software architecture by software programming using optimization techniques such as column generation, branch and price, brand & bound, mixed integer linear programming & mathematical programming tools such as C# .NET, Gurobi, CPLEX Build models for Predictive Analysis using traditional methods, Regression, Forecasting, Artificial Intelligence and Machine Learning techniques Software programming to ensure interaction within existing ERP database, business logic, presentation tier and various optimization solvers. Undertake training of juniors OR Analysts and subordinates -software engineers and testers. Adhering to documentation control standards and processes maintaining high standards of quality will be a key requirement. Continued R&D on latest development in Operation Research in Transportation Industry to ensure code fidelity and continuous improvement.      Collaborates with other teams to design database, UI, algorithm and engine Measures, controls, maintains, tests and improves the quality of model/software development Prepares functional specification and project report documents Requirements Must possess superior analytical and quantitative skills. Excellent problem-solving skills and ability to work under pressure. Communicates clearly, effectively, and quickly - both verbally and written in English Extremely detail oriented and drive quality at minutest detail Excellent problem-solving skills and ability to meet deadlines under pressure Demonstrated success in a fast-paced work environment with constantly changing priorities and emergencies Takes responsibility for mistakes and plans to avoid repeating the same mistake Open to receiving feedback and constructive criticism Great team player and ability to guide and mentor team independently with focus on goal Ability to respond with a composed temperament Appreciates diversity of multinational culture and be able to collaborate Positive attitude and self-starter and open to learn Embraces speaking out, playing fair, teaming up and having fun Able to have flexible working hours and work with globally distributed team  Educational Qualifications:  Ph. D./Engineering/ Masters/ Bachelors in OR/ Applied OR/ Industrial Engineering, Applied Maths from recognized academic institutions. Strong academic performance desirable.Software Experience- Software Programming & data manipulation skills using a variety of tools/ platforms like CPLEX, C# .NET, Amazon Web services, Microsoft Azure. Experience or exposure to Transportation Industry. ",https://www.mycareersfuture.sg/job/senior-junior-operational-research-laminaar-aviation-infotech-39d195ec462cd40d8d0f6263d591929a
Assistant Research Officer,WILMAR INTERNATIONAL LIMITED,56 NEIL ROAD 088830,Permanent,Executive,"Information Technology, Sciences / Laboratory / R&D","$3,000","$6,000",Monthly,"Roles & ResponsibilitiesWilmar International Limited has recently established a world-class research center jointly with National University of Singapore (WIL@NUS) to solve industrial problems using R&D as a platform. We are looking to expand our team to explore the application of data analytics and machine learning in agribusiness and quality control.   Key responsibilities (not limited to):  Manage and preprocess data Ability to code and script based on specified tasks Simple to intermediate statistical analysis Strong in algorithms Versatile in applying computational techniques to solve open problems Participate in seminars and research-in-progress meetings within the team and collaborators RequirementsJob requirements:  Honours degree in area of Computer Science Ability to code in a few languages - R, python, java, bash Good to have mathematical background Good written and oral communication skills. Team player with initiative and drive ",https://www.mycareersfuture.sg/job/assistant-research-officer-wilmar-international-0935a0f716cf722318afc63198f2dd74
Research Fellow,NANYANG TECHNOLOGICAL UNIVERSITY,"NANYANG TECHNOLOGICAL UNIVERSITY, 50 NANYANG AVENUE 639798","Contract, Full Time",Professional,Sciences / Laboratory / R&D,"$4,000","$5,500",Monthly,"Roles & ResponsibilitiesThere is a postdoctoral position in condensed matter theory opening in the group of Asst. Prof. Yang Bo in Singapore at the Department of Physics, Nanyang Technological University. Applications are invited with areas of interest that include (but are not limited to):  Topological phases of matter; Strongly correlated systems (e.g. fractional quantum Hall effect, fractional Chern insulators and other flatband/heavy fermion systems); Quantum numerical simulations (e.g. large scale exact diagonalization, density matrix renormalization group, classical and quantum Monte-Carlo); Classical many-body systems (e.g. complex systems, critical and emergent behaviour); Neural networks and modern machine learning. Requirements Candidates should have a PhD in theoretical condensed matter physics or closely related fields, be highly motivated, and have a strong background in analytical and/or numerical methods. Active engagement with experimental groups is encouraged. The position is for 2 years to start as soon as possible. There is a possibility of extension for a third year. Candidates are invited to submit an application with a CV, a list of publications, and a short statement of research interests directly to Yang Bo (see below for email address). Letters of recommendations will be solicited at a later date. For more information (and to submit your CVs), please contact Yang Bo directly at yang.bo [at] ntu [dot] edu [dot] sg Additional details are also available at: https://sites.google.com/view/yang-bo/home ",https://www.mycareersfuture.sg/job/research-fellow-nanyang-technological-university-c82cb85e28fc4dcd8e822698ec79e957
AA RPA Consultant,TOSS-EX PTE. LTD.,"INCOME AT RAFFLES, 16 COLLYER QUAY 049318",Contract,Executive,Information Technology,"$6,000","$7,500",Monthly,"Roles & Responsibilities At least 1-2 years of experience on developing medium to complex and high transaction volume bots on Automation Anywhere RPA platform. Must have experience in conducting business process review to optimize the automation of the bot. Must be well versed with AA RPA best practices and guidelines The candidate will be required to develop the bots of varying complexities interacting with applications and contact center systems, websites, Sharepoint and Outlook Experience on iQBot using OCR, NLB, Machine learning capabilities will be an added advantage.   Requirements~  At least 1-2 years of experience on developing medium to complex and high transaction volume bots on Automation Anywhere RPA platform. Must have experience in conducting business process review to optimize the automation of the bot. Must be well versed with AA RPA best practices and guidelines The candidate will be required to develop the bots of varying complexities interacting with applications and contact center systems, websites, Sharepoint and Outlook Experience on iQBot using OCR, NLB, Machine learning capabilities will be an added advantage.   ",https://www.mycareersfuture.sg/job/aa-rpa-consultant-toss-ex-f89369bb2b3ae6983433e5b7772b745c
Senior Principal Investigator  /  Principal Investigator (SICS)  /  A*STAR,A*STAR RESEARCH ENTITIES,,"Contract, Full Time",Non-executive,Sciences / Laboratory / R&D,"$7,100","$14,200",Monthly,"Roles & ResponsibilitiesAbout Singapore Institute for Clinical Sciences (SICS)   Established in 2007, the Singapore Institute for Clinical Sciences (SICS) is a research institute within the Agency for Science, Technology and Research (A*STAR), and its mission is to develop clinical and translational research programmes in key disease areas.   SICS is distinguished by its focus on clinical sciences and the use of innovative approaches and technologies that enable the efficient and effective study of human health and diseases. The clinical scientists in SICS conduct the full spectrum of “bench to bedside” research activities in metabolic diseases (including diabetes, obesity and insulin resistance), pathways to normal growth and development (including cognitive and behavioural development), and nutritional sciences. The institute aims to attract, train and nurture clinician-scientists and to develop joint programmes with universities, academic medical centres, government hospitals and research institutes.   For more information about A*STAR and SICS, please visit www.a-star.edu.sg and www.sics.a-star.edu.sg respectively.   Job Summary: The systems biology group at the Singapore Institute for Clinical Sciences (SICS) invites applications for Principal Investigator position in the area of Bioinformatics and Artificial Intelligence. The successful candidate will join an established research team focusing on understanding molecular and biomedical data from observational and interventional clinical studies.   Job Responsibilities: The successful candidate will  Join an active group of biostatisticians, analysts, and programmers working on data from metabolic, neurodevelopment and nutrition platforms. Develop machine learning and AI methods to study cutting-edge research questions related to genomic and phenotypic variation in our cohorts. Collaborate with experimental groups, clinicians and industry. Integrate internal and external omics data with phenome for comprehensive analysis Write scientific manuscripts and data reports. Establish impactful and creative research. Requirements PhD and at least 5 years of relevant experience either in academia or industry, in computational biology, bioinformatics, or relevant field (e.g., bioinformatics, big data analysis). Strong analytical skills and a notable publication record. The candidate must be comfortable working in a dynamic research organization and able to balance multiple responsibilities. Strong communication skills and a willingness to work collaboratively in a multidisciplinary environment. Grounding in machine learning theory and recent advances in deep learning Excellent algorithm development and programming experience (e.g. C/C++, R, S-plus, SQL, Java, and Oracle) Proven record of knowledge in the area of analytical methods for observational clinical outcomes data    The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice.   We regret that only shortlisted candidates will be notified.",https://www.mycareersfuture.sg/job/senior-principal-investigator-principal-investigator-astar-astar-research-entities-fd65081e8d085db67b2cd463b7c3b5d4
Data Scientist,ALPHATECH BUSINESS SOLUTIONS PTE. LTD.,,"Permanent, Full Time",Professional,Information Technology,"$5,500","$8,000",Monthly,"Roles & Responsibilities·       Use machine learning and analytical techniques to build prediction models for different use cases. ·       Design, develop and test advanced models for predictive behavior. ·       Co-operate with software engineering teams to drive real-time model implementations and new feature creations. ·       Design efficient, scalable, automated processes for large scale data analyses, model development, model validation and model implementation ·       Research and evaluate pioneering machine learning and statistical model RequirementRequirements·       Atleast 3+ years of Deep Learning and machine learning experience. ·       Good understanding about supervised and unsupervised learning algorithms. ·       Generate and test working Hypothesis. ·       Mandatory coding experience in Python ·       Experience working with modern Deep Learning techniques, framework and applications. ·       Experience in DL framework (e.g Caffe, Tourch, Tensorflow). ·       Exposure to GPU technology and CUDA programming ·       2 year or above experience in Algorithms, statistical analysis, computational NLP and/or machine learning. ·       Strong teamwork and interpersonal skills. ·       Action oriented with strong analytical and problem solving skill.",https://www.mycareersfuture.sg/job/data-scientist-alphatech-business-solutions-fd76954dd1dad35f2b1b54dd92cbd60a
"Senior Specialist / Manager, CS Process & Project",APL CO. PTE LTD,"THE METROPOLIS, 9 NORTH BUONA VISTA DRIVE 138588",Permanent,Senior Executive,Others,"$6,000","$8,000",Monthly,"Roles & ResponsibilitiesBRIEF DESCRIPTION This position reports to the Head, CS Process Process & Excellence and has primary accountability for CS Process Improvement and Management. This includes, Process Centralization and Offshoring. This position is also responsible for leading Strategic CS Projects for APL, such as C3S (Salesforce.com) / eBL via Blockchain and Being the liaison to CMA eCommerce Teams for Implementation of any eCommerce tools or initiatives as requested by APL Management   KEY RESULT AREAS   Implement the CS strategy centered around Ease of Doing Business via continuous Process Review and Optimization in collaboration with Agencies / Regional Offices / IT / Compliance and eCommerce Effective CS Process Centralization and Offshoring to increase Efficiency and Effectiveness of Service Delivery, measured against efficiency improvement KPIs Lead core CS Projects, such as C3S / Machine Learning / eBL for APL to timely and effective Implementation Center of Expertise for eCommerce and EDI topics / Liaison with CMA HO eCommerce    KEY ACCOUNTABILITIES Review CS Processes for opportunities to simplify / streamline to further increase effectiveness and improve the Ease of Doing Business considering the following:  Improve Customer Experience / Reduce Hassle Reduce Internal Complexity / improve efficiency of service delivery Streamline internal inter-departmental processes on speed / effectiveness    Lead CS Centralization and Offshoring:  Review CS structure and CS Process Inventory (local processes / split of tasks between GSSC and Agency CS) per country Identify and needs for IT developments to further increase productivity and efficiency Work with Service Excellence Team / Country CSMs / APL IT to propose to-be structure and to-be work split between GSSC and Agency CS Review and Identify and Opportunities for Process Automation (RPA) Execute the plan and coordinate with A2L Interim 2 HC timeline where feasible    Lead Strategic CS Projects to a timely and effective conclusion  C3S / Salesforce Service Cloud Machine Learning Full-function APL app launch Cloud ACD Rollout eBL via Blockchain WeChat further functionalities other projects as per work plan on priority items    Center of Expertise for CS Process / Documentation / Compliance  Responsible for Creating and Maintaining CS related Policy & Operating Manuals (POM) Ensure availability and accuracy of the POM documents Initiate changes to POM to reflect actual practice in the fields Conduct audit in relevance to POM requirements    LARA / MUST / EDI Center of Expertise in APL  Collect Best Practices from Countries / Share with all Agencies Understand any Gaps / Area for Improvements from countries and share with CMA HO eCommerce and LARA teams Liaison between APL agencies / KAM team and CMA HO on any specific EDI and eCommerce requirements    Respond to RFIs  Handle any CS / Documentation / Commercial EDI or eCommerce questions received from MTB team for any bid documents handled by MTB Periodically Review MTB’s current list of FAQs and update these if / as needed to ensure relevance of these responses    Staff Management  Develop the team to master new challenges and equip members to handle tasks and projects more independently / take on new duties outside their current area of expertise Delegate work to team members so as to focus on the core areas where leadership and strategic thinking is required Manage and resolve grievances between team members   RequirementsJOB REQUIREMENTS Education : Tertiary Education (typical) Experience :  Min 5 years’ staff management experience Experience in Liner Shipping for Customer Service, Documentation Experience in Sales, Logistics, Equipment, Project Management would be an advantage Strong experience working in CMA CGM IT systems Experience working with 3rd party EDI and eCommerce platforms preferred  Skills Set  Demonstrated experience in developing and maintaining positive customer relationships Customer focus – maintain a service attitude that improves customer perceptions and satisfaction Proven leadership in managing complex situations Strong in communication, interaction & interpersonal skills Team building ability – blends people into team and create strong morale and spirit in his/her team Problem solving – ability to anticipate & identify problem  Competencies  Process Management – understanding the key concepts of work processes and seeking ways to improve them. Measure results by using process and quality measures Business knowledge – know company’s mission, products & services and key business challenges. Understand how decisions impact company financial results Customer focus – maintain a service attitude that improves customer perception and encourages return business Organization & planning – establish efficient, realistic targets and goals to achieve objectives. Coordinate resources to achieve results Leadership – Building Effective Team. Win & maintain cooperation & commitment. Know when to and how to lead, coach, teach, and/or serve as a team member, especially in a multi-cultural environment Communication – deliver accurate, clear, concise information and ideas to individuals and groups. Listen actively. Provide objective feedback and encourage suggestions   ",https://www.mycareersfuture.sg/job/senior-specialist-manager-cs-process-project-apl-cacc96632c974c0d8d8c1d3bda5e2c7e
"Senior Specialist / Manager, CS Process & Project",APL CO. PTE LTD,"THE METROPOLIS, 9 NORTH BUONA VISTA DRIVE 138588",Permanent,Senior Executive,Others,"$4,500","$6,000",Monthly,"Roles & ResponsibilitiesBRIEF DESCRIPTION This position reports to the Head, CS Process Process & Excellence and has primary accountability for CS Process Improvement and Management. This includes, Process Centralization and Offshoring. This position is also responsible for leading Strategic CS Projects for APL, such as C3S (Salesforce.com) / eBL via Blockchain and Being the liaison to CMA eCommerce Teams for Implementation of any eCommerce tools or initiatives as requested by APL Management   KEY RESULT AREAS   Implement the CS strategy centered around Ease of Doing Business via continuous Process Review and Optimization in collaboration with Agencies / Regional Offices / IT / Compliance and eCommerce Effective CS Process Centralization and Offshoring to increase Efficiency and Effectiveness of Service Delivery, measured against efficiency improvement KPIs Lead core CS Projects, such as C3S / Machine Learning / eBL for APL to timely and effective Implementation Center of Expertise for eCommerce and EDI topics / Liaison with CMA HO eCommerce    KEY ACCOUNTABILITIES Review CS Processes for opportunities to simplify / streamline to further increase effectiveness and improve the Ease of Doing Business considering the following:  Improve Customer Experience / Reduce Hassle Reduce Internal Complexity / improve efficiency of service delivery Streamline internal inter-departmental processes on speed / effectiveness    Lead CS Centralization and Offshoring:  Review CS structure and CS Process Inventory (local processes / split of tasks between GSSC and Agency CS) per country Identify and needs for IT developments to further increase productivity and efficiency Work with Service Excellence Team / Country CSMs / APL IT to propose to-be structure and to-be work split between GSSC and Agency CS Review and Identify and Opportunities for Process Automation (RPA) Execute the plan and coordinate with A2L Interim 2 HC timeline where feasible    Lead Strategic CS Projects to a timely and effective conclusion  C3S / Salesforce Service Cloud Machine Learning Full-function APL app launch Cloud ACD Rollout eBL via Blockchain WeChat further functionalities other projects as per work plan on priority items    Center of Expertise for CS Process / Documentation / Compliance  Responsible for Creating and Maintaining CS related Policy & Operating Manuals (POM) Ensure availability and accuracy of the POM documents Initiate changes to POM to reflect actual practice in the fields Conduct audit in relevance to POM requirements    LARA / MUST / EDI Center of Expertise in APL  Collect Best Practices from Countries / Share with all Agencies Understand any Gaps / Area for Improvements from countries and share with CMA HO eCommerce and LARA teams Liaison between APL agencies / KAM team and CMA HO on any specific EDI and eCommerce requirements    Respond to RFIs  Handle any CS / Documentation / Commercial EDI or eCommerce questions received from MTB team for any bid documents handled by MTB Periodically Review MTB’s current list of FAQs and update these if / as needed to ensure relevance of these responses    Staff Management  Develop the team to master new challenges and equip members to handle tasks and projects more independently / take on new duties outside their current area of expertise Delegate work to team members so as to focus on the core areas where leadership and strategic thinking is required Manage and resolve grievances between team members   RequirementsJOB REQUIREMENTS Education : Tertiary Education (typical) Experience :  Min 5 years’ staff management experience Experience in Liner Shipping for Customer Service, Documentation Experience in Sales, Logistics, Equipment, Project Management would be an advantage Strong experience working in CMA CGM IT systems Experience working with 3rd party EDI and eCommerce platforms preferred  Skills Set  Demonstrated experience in developing and maintaining positive customer relationships Customer focus – maintain a service attitude that improves customer perceptions and satisfaction Proven leadership in managing complex situations Strong in communication, interaction & interpersonal skills Team building ability – blends people into team and create strong morale and spirit in his/her team Problem solving – ability to anticipate & identify problem  Competencies  Process Management – understanding the key concepts of work processes and seeking ways to improve them. Measure results by using process and quality measures Business knowledge – know company’s mission, products & services and key business challenges. Understand how decisions impact company financial results Customer focus – maintain a service attitude that improves customer perception and encourages return business Organization & planning – establish efficient, realistic targets and goals to achieve objectives. Coordinate resources to achieve results Leadership – Building Effective Team. Win & maintain cooperation & commitment. Know when to and how to lead, coach, teach, and/or serve as a team member, especially in a multi-cultural environment Communication – deliver accurate, clear, concise information and ideas to individuals and groups. Listen actively. Provide objective feedback and encourage suggestions   ",https://www.mycareersfuture.sg/job/senior-specialist-manager-cs-process-project-apl-a266d4efe9b01087c36c17ece50ba2ae
Data Scientist,DHL EXPRESS (SINGAPORE) PTE. LTD.,"ONE MARINA BOULEVARD, 1 MARINA BOULEVARD 018989","Permanent, Full Time",Professional,Others,"$4,800","$6,800",Monthly,"Roles & ResponsibilitiesIf you are a dynamic team player with an entrepreneurial spirit to make a change with your skill set and potential, we’d like to welcome you to explore the career opportunities available with us.  Key Accountabilities Analytics Solution Design and Development • Design and implement innovation analytical solutions using advanced statistical and machine learning techniques • Design and implement scalable and robust software platforms for ingesting and transforming datasets and visualizing the data insights through an interactive dashboard, using a variety of open-source and proprietary Big Data technologies • Design and support implementation of IT/database infrastructure to support analytics projects Project Management • Manage project implementation (for analytics scope only) and team resources to ensure solutions being delivered on time and meet requirements • Support the development and deployment of software solutions and platforms (led by IT solutions engineer) • Ensure close coordination with the partnering institution’s analytics teams Knowledge Development and Management • Research and experiment on new analytical methods and tools towards the deepening of capabilities • Support knowledge management by ensuring that best practices, learnings and insights arising from projects and industry engagements are documented, kept up-to-date and always available  • Support knowledge development and sharing in the latest analytics/big-data industry trendsRequirements• Bachelor’s Degree in Computer Science, Data Science/ Analytics with 3 years experience in data science fields.  •  Demonstrated practical in-depth knowledge of data integration, metadata, BI analytics tools and Big Data tools •  Experience in programming for data science, statistics, or modeling •  Experience in Python, including numerical libraries such as NumPy and scikit-learn •  Experience in database management systems such as MySQL, PostgreSQL, MongoDB, MS SQL Server •  Experience in data visualization tools or libraries such as Tableau, Power BI, Python (ggplot, matplotlib, pandas, pygal) and JavaScript (Leaflet, D3) •  Good understanding of CPU, process and memory management •  Proficiency in Microsoft Excel •  Good verbal and written communication skills",https://www.mycareersfuture.sg/job/data-scientist-dhl-express-70ee65348b4d43f1c96ba33853663adf
Research Assistant,NANYANG TECHNOLOGICAL UNIVERSITY,"NANYANG TECHNOLOGICAL UNIVERSITY, 50 NANYANG AVENUE 639798","Contract, Full Time","Professional, Executive",Sciences / Laboratory / R&D,"$3,400","$5,000",Monthly,"Roles & ResponsibilitiesA research assistant position is available in the Cyber Security lab, School of Computer Science and Engineering, Nanyang Technological University, in the areas of cyber security, software engineering, and machine learning. The position involves assisting to conduct research and experiments on approaches to detection of cyber-attacks, malware and software vulnerability, as well as their implementation. Applicants should have relevant background in these areas. Applicants should be proficient in C++, Java, JavaScript.Requirements Master (or higher) degree on software engineering, computer science, engineering, or other related disciplines.  Knowledge in software engineering, security, malware detection, mobile development, and related areas. Fluency in C++, Java, JavaScript. Excellent communication and writing skills, ability to take initiatives, and hard-working.  ",https://www.mycareersfuture.sg/job/research-assistant-nanyang-technological-university-b6767505ec146d26d724d305c12ad051
"Customer Reference Marketing Manager JAPAC, Google Cloud - Singapore",GOOGLE ASIA PACIFIC PTE. LTD.,"MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",Full Time,Manager,Marketing / Public Relations ,"$14,000","$28,000",Monthly,"Roles & ResponsibilitiesCompany overview: Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers. The area: Marketing Know the user. Know the magic. Connect the two. At its core, marketing at Google starts with technology and ends with the user, bringing both together in unconventional ways. Our job is to demonstrate how Google's products solve the world's problems--from the everyday to the epic, from the mundane to the monumental. And we approach marketing in a way that only Google can--changing the game, redefining the medium, making the user the priority, and ultimately, letting the technology speak for itself. The role: Customer Reference Marketing Manager JAPAC, Google Cloud - Singapore Google is developing groundbreaking cloud solutions for companies, leveraging years of experience in building secure, reliable, and scalable cloud technology. With strong Google differentiation in data analytics and machine learning, security, application development and collaboration software, we’re well on our way -- but we need more people who can help us write, tell, and sell that story. If you’re as excited about building what’s next as we are, Google Cloud is the place for you. Additional Role Description: As a Customer Reference Marketing Manager, you will be charged with communicating our product vision and roadmap to global industry analyst firms across Japan and Asia Pacific. You'll work with leaders across Google Cloud, collaborating with teams in communications, product management, sales and field marketing. Responsibilities: - Contribute to Google Cloud influencer relations strategies, and develop programs and opportunities for increased growth and impact of the customer advocacy program. - Execute the day-to-day implementation of our customer reference program and act as the external contact for Google Cloud customers. - Identify and onboard new reference customers, manage and monitor customer reference activity, keeping data current, accurate and up to date. - Engage with marketing, sales, product and executive teams, on a daily basis, regarding customer advocacy. Train internal teams on use of reference materials, processes, programs and strategy for customer assets. - Ensure a positive customer experience through day-to-day activities, and work as an advocate for our customers.RequirementsMinimum qualifications: - BA/BS degree or equivalent practical experience. - 4 years of relevant work experience. Preferred qualifications: - 2 years of experience in customer reference, marketing or corporate communications. - Demonstrated ability to manage global agency resources and ensure global initiatives are represented in strategic regions. - Ability to build relationships with internal and external constituents (customers, sales, product teams, etc.) in a fast-paced environment. - Interest in Cloud technologies and collaboration software. - Excellent project management, analytical and written/spoken communication skills.",https://www.mycareersfuture.sg/job/customer-reference-marketing-manager-japac-google-cloud-singapore-google-asia-pacific-60907a8fa9cd57c27fe3f57864cf622b
Backend Developer,YOLO TECHNOLOGY PTE. LTD.,"PICO CREATIVE CENTRE, 20 KALLANG AVENUE 339411",Full Time,Senior Executive,Information Technology,"$3,500","$4,500",Monthly,"Roles & ResponsibilitiesThe incumbent is in charge of the entire back-end function. In addition, he or she is also required to constantly improve better end-user experience.  Responsibilities:  Develop, build and maintain RESTful APIs in PHP Design and develop scalable and well-structured back-end architecture Collaborate with product team and designer in application development Ship clean code and highly maintainable product Ensure the performance, quality, stability, scalability, and security of server applications Maintenance of Microservices app  Skills:  Strong proficiency in PHP Experience in developing RESTful APIs Manage queries on MySql database Experience with AWS services especially EC2 and S3 Familiar with Micro-services architecture Familiar with code versioning tools especially Git  Good to have:  Web Socket Redis Elasticsearch/ Kibana (Data Visualization) Modern authorization mechanisms (JSON Web Token) Python (for Machine Learning) Laravel/Lumen framework  We regret that only shortlisted candidates will be notified.  Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma in Engineering (Computer/Telecommunication) or equivalent. At least 2 Year(s) of working experience in the related field is required for this position. Required Skill(s): PHP, Python Preferably Junior Executive specialized in IT/Computer - Software or equivalent. Requirements Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma in Engineering (Computer/Telecommunication) or equivalent. At least 2 Year(s) of working experience in the related field is required for this position. Required Skill(s): PHP, Python Preferably Junior Executive specialized in IT/Computer - Software or equivalent. ",https://www.mycareersfuture.sg/job/backend-developer-yolo-technology-2cfb89661550332479d574181688ba27
